CPX|t|IDX|AE|1|1|2
CPX|t|IDX1|AE|1|2|3
CPX|t|IDX2|AE|1|3|4
CPX|t|[D,IDX]|AE|1|1|2
CPX|t|[IDX2]|AE|1|3|4
CPY|t|IMM|8D|1|2|3
CPY|t|DIR|9D|1|1|2
CPY|t|EXT|BD|1|2|3
CPY|t|IDX|AD|1|1|2
CPY|t|IDX1|AD|1|2|3
CPY|t|IDX2|AD|1|3|4
CPY|t|[D,IDX]|AD|1|1|2
CPY|t|[IDX2]|AD|1|3|4
DAA|f|INH|1807|2|0|2
DBEQ|t|REL|4|1|2|3
DBNE|t|REL|4|1|2|3
DEC|t|EXT|73|1|2|3
DEC|t|IDX|63|1|1|2
DEC|t|IDX1|63|1|2|3
DEC|t|IDX2|63|1|3|4
DEC|t|[D,IDX]|63|1|1|2
DEC|t|[IDX2]|63|1|3|4
DECA|f|INH|43|1|0|1
DECB|f|INH|53|1|0|1
DES|f|IDX|1B9F|2|0|2
DEX|f|INH|9|1|0|1
DEY|f|INH|3|1|0|1
EDIV|f|INH|11|1|0|1
EDIVS|f|INH|1814|2|0|2
EMAXD|t|IDX|181A|2|1|3
EMAXD|t|IDX1|181A|2|2|4
EMAXD|t|IDX2|181A|2|3|5
EMAXD|t|[D,IDX]|181A|2|1|3
EMAXD|t|[IDX2]|181A|2|3|5
EMAXM|t|IDX|181E|2|1|3
EMAXM|t|IDX1|181E|2|2|4
EMAXM|t|IDX2|181E|2|3|5
EMAXM|t|[D,IDX]|181E|2|1|3
EMAXM|t|[IDX2]|181E|2|3|5
EMIND|t|IDX|181B|2|1|3
EMIND|t|IDX1|181B|2|2|4
EMIND|t|IDX2|181B|2|3|5
EMIND|t|[D,IDX]|181B|2|1|3
EMIND|t|[IDX2]|181B|2|3|5
EMINM|t|IDX|181F|2|1|3
EMINM|t|IDX1|181F|2|2|4
EMINM|t|IDX2|181F|2|3|5
EMINM|t|[D,IDX]|181F|2|1|3
EMINM|t|[IDX2]|181F|2|3|5
EMUL|f|INH|13|1|0|1
EMULS|f|INH|1813|2|0|2
EORA|t|IMM|88|1|1|2
EORA|t|DIR|98|1|1|2
EORA|t|EXT|B8|1|2|3
EORA|t|IDX|A8|1|1|2
EORA|t|IDX1|A8|1|2|3
EORA|t|IDX2|A8|1|3|4
EORA|t|[D,IDX]|A8|1|1|2
EORA|t|[IDX2]|A8|1|3|4
EORB|t|IMM|C8|1|1|2
EORB|t|DIR|D8|1|1|2
EORB|t|EXT|F8|1|2|3
EORB|t|IDX|E8|1|1|2
EORB|t|IDX1|E8|1|2|3
EORB|t|IDX2|E8|1|3|4
EORB|t|[D,IDX]|E8|1|1|2
EORB|t|[IDX2]|E8|1|3|4
ETBL|t|IDX|183F|2|1|3
EXG|t|INH|B7|1|1|2
FDIV|f|INH|1811|2|0|2
IBEQ|t|REL|4|1|2|3
IBNE|t|REL|4|1|2|3
IDIV|f|INH|1810|2|0|2
IDIVS|f|INH|1815|2|0|2
INC|t|EXT|72|1|2|3
INC|t|IDX|62|1|1|2
INC|t|IDX1|62|1|2|3
INC|t|IDX2|62|1|3|4
INC|t|[D,IDX]|62|1|1|2
INC|t|[IDX2]|62|1|3|4
INCA|f|INH|42|1|0|1
INCB|f|INH|52|1|0|1
INS|f|IDX|1B81|2|0|2
INX|f|INH|8|1|0|1
INY|f|INH|2|1|0|1
JMP|t|EXT|6|1|2|3
JMP|t|IDX|5|1|1|2
JMP|t|IDX1|5|1|2|3
JMP|t|IDX2|5|1|3|4
JMP|t|[D,IDX]|5|1|1|2
JMP|t|[IDX2]|5|1|3|4
JSR|t|DIR|17|1|1|2
JSR|t|EXT|16|1|2|3
JSR|t|IDX|15|1|1|2
JSR|t|IDX1|15|1|2|3
JSR|t|IDX2|15|1|3|4
JSR|t|[D,IDX]|15|1|1|2
JSR|t|[IDX2]|15|1|3|4
LBCC|t|REL|1824|2|2|4
LBCS|t|REL|1825|2|2|4
LBEQ|t|REL|1827|2|2|4
LBGE|t|REL|182C|2|2|4
LBGT|t|REL|182E|2|2|4
LBHI|t|REL|1822|2|2|4
LBHS|t|REL|1824|2|2|4
LBLE|t|REL|182F|2|2|4
LBLO|t|REL|1825|2|2|4
LBLS|t|REL|1823|2|2|4
LBLT|t|REL|182D|2|2|4
LBMI|t|REL|182B|2|2|4
LBNE|t|REL|1826|2|2|4
LBPL|t|REL|182A|2|2|4
LBRA|t|REL|1820|2|2|4
LBRN|t|REL|1821|2|2|4
LBVC|t|REL|1828|2|2|4
LBVS|t|REL|1829|2|2|4
LDAA|t|IMM|86|1|1|2
LDAA|t|DIR|96|1|1|2
LDAA|t|EXT|B6|1|2|3
LDAA|t|IDX|A6|1|1|2
LDAA|t|IDX1|A6|1|2|3
LDAA|t|IDX2|A6|1|3|4
LDAA|t|[D,IDX]|A6|1|1|2
LDAA|t|[IDX2]|A6|1|3|4
LDAB|t|IMM|C6|1|1|2
LDAB|t|DIR|D6|1|1|2
LDAB|t|EXT|F6|1|2|3
LDAB|t|IDX|E6|1|1|2
LDAB|t|IDX1|E6|1|2|3
